"HHID","PID","h4q2","h4q3","h4q4","h4q5","h4q6","h4q7","h4q8","h4q9","h4q10","h4q11","h4q12","h4q13","h4q14","h4q15a","h4q15b","h4q15c","h4q15d","h4q15e","h4q15f","h4q15g","h4q16","h4q17","h4q18","h2q1"
"1053003312","105300331203",2,"105300331201",1,1,10,,,,,,,,,,,,,,,,,,,
"105300331202","1053003312020",2,"10530033120202",4,2,,17,3,,,,,,,,,,,,,,,,,
"105300331202","10530033120202",1,,4,2,,16,10,,,,,,,,,,,,,,,,,
"1063000302","106300030204",2,"106300030202",4,3,,,,11,12,1,1,2,50,6000,0,15000,0,,3000,24000,1,1,3,
"1063000302","106300030203",2,"106300030202",4,3,,,,13,14,1,1,2,50,6000,0,21000,0,,3000,30000,1,1,3,
"1063000302","106300030201",2,"106300030202",4,2,,17,3,,,,,,,,,,,,,,,,,
"1063000302","106300030206",2,"106300030202",1,1,96,,,,,,,,,,,,,,,,,,,
"1063000302","106300030205",2,"106300030202",3,3,,,,1,10,1,1,2,50,6000,0,3600,0,,3000,12600,1,1,3,
"1063000302","106300030202",1,,4,2,,16,96,,,,,,,,,,,,,,,,,
"1063000304","106300030406",2,"106300030401",1,1,96,,,,,,,,,,,,,,,,,,,
"1063000304","106300030401",1,,4,2,,14,10,,,,,,,,,,,,,,,,,
"1063000304","106300030403",2,"106300030401",4,3,,,,14,15,1,1,1,20,0,0,8500,0,,10000,18500,1,1,2,
"1063000304","106300030405",2,"106300030401",1,1,96,,,,,,,,,,,,,,,,,,,
"1063000304","106300030404",2,"106300030401",1,3,,,,12,13,2,1,1,20,60000,0,7000,0,,4500,71500,2,,3,
"1063000305","106300030513",1,,1,1,8,,,,,,,,,,,,,,,,,,,
"106300030511","10630003051105",,,,,,,,,,,,,,,,,,,,,,,,5
"106300030511","10630003051102",,,,,,,,,,,,,,,,,,,,,,,,2
"106300030511","10630003051106",,,,,,,,,,,,,,,,,,,,,,,,6
"106300030511","10630003051107",,,,,,,,,,,,,,,,,,,,,,,,7
"106300030511","1063000305110",,,,,,,,,,,,,,,,,,,,,,,,4
"106300030511","10630003051108",,,,,,,,,,,,,,,,,,,,,,,,8
"106300030511","10630003051101",,,,,,,,,,,,,,,,,,,,,,,,1
"106300030511","10630003051103",,,,,,,,,,,,,,,,,,,,,,,,3
"1063000307","106300030701",1,,1,2,11,99,,,,,,,,,,,,,,,,,,
"1063000307","106300030702",1,,1,2,11,14,,,,,,,,,,,,,,,,,,
"1063000308","106300030808",2,"106300030801",3,3,,,,1,10,1,1,2,50,2000,0,4000,0,,2000,8000,1,1,3,
"1063000308","106300030805",2,"106300030801",4,3,,,,12,12,1,1,2,50,3000,0,6000,0,,3000,12000,1,1,3,
"1063000308","106300030807",2,"106300030801",3,3,,,,10,11,1,1,2,50,3000,0,5000,0,,2000,10000,1,1,3,
"1063000308","106300030804",2,"106300030801",4,3,,,,13,14,1,1,2,50,3000,0,10000,0,,3000,16000,1,1,3,
"1063000308","106300030809",2,"106300030801",3,1,96,,,,,,,,,,,,,,,,,,,
"1063000308","106300030806",2,"106300030801",4,3,,,,12,13,4,1,2,40,75000,0,10000,0,,4500,89500,2,,3,
"1063000308","106300030801",1,,4,2,,17,3,,,,,,,,,,,,,,,,,
"1063000308","106300030802",1,,4,2,,17,3,,,,,,,,,,,,,,,,,
"1063000308","106300030803",2,"106300030801",4,3,,,,14,15,1,1,2,50,15000,0,15000,0,,6000,36000,1,1,3,
"1063000310","106300031008",2,"106300031002",4,3,,,,12,13,2,1,0,15,75000,0,9600,0,,42000,126600,2,,3,
"1063000310","106300031001",2,"106300031002",4,2,,17,3,,,,,,,,,,,,,,,,,
"1063000310","106300031002",1,,4,2,,15,3,,,,,,,,,,,,,,,,,
"1063000310","106300031011",2,"106300031002",1,1,96,,,,,,,,,,,,,,,,,,,
"1063000310","106300031004",2,"106300031002",4,2,,16,11,,,,,,,,,,,,,,,,,
"1063000310","106300031012",2,"106300031002",1,1,96,,,,,,,,,,,,,,,,,,,
"1063000310","106300031006",1,,4,3,,,,15,16,2,1,0,20,110500,10000,8000,0,,42000,170500,2,,3,
"1063000310","106300031007",1,,4,3,,,,14,15,2,1,0,15,75000,0,11900,0,,42000,128900,2,,3,
"1063000311","106300031103",2,"106300031101",4,2,,15,3,,,,,,,,,,,,,,,,,
"1063000311","106300031104",2,"106300031101",1,1,13,,,,,,,,,,,,,,,,,,,
"1063000311","106300031101",1,,4,2,,14,3,,,,,,,,,,,,,,,,,
"1063000311","106300031105",2,"106300031101",4,3,,,,11,12,2,1,0,10,30000,0,10000,0,,7500,47500,2,,3,
"1063000502","106300050206",2,"106300050202",1,1,10,,,,,,,,,,,,,,,,,,,
"1063000502","106300050201",2,"106300050202",4,2,,31,3,,,,,,,,,,,,,,,,,
"1063000502","106300050205",2,"106300050202",1,1,10,,,,,,,,,,,,,,,,,,,
"1063000502","106300050203",2,"106300050202",1,2,10,10,,,,,,,,,,,,,,,,,,
"1063000502","106300050209",1,,4,2,,14,3,,,,,,,,,,,,,,,,,
"1063000502","106300050204",2,"106300050202",1,2,10,10,,,,,,,,,,,,,,,,,,
"1063000502","106300050202",1,,4,2,,15,3,,,,,,,,,,,,,,,,,
"1063000503","106300050301",1,,4,2,,14,9,,,,,,,,,,,,,,,,,
"1063000503","106300050304",2,"106300050301",1,3,,,,11,12,1,1,5,60,0,0,12000,0,,18000,30000,1,1,3,
"1063000503","106300050303",2,"106300050301",4,3,,,,13,14,1,1,5,60,0,0,21000,0,,18000,39000,1,1,3,
"1063000503","106300050302",1,,1,2,8,99,,,,,,,,,,,,,,,,,,
"1063000505","106300050501",1,,1,2,,14,96,,,,,,,,,,,,,,,,,
"106300050604","10630005060405",2,"10630005060401",1,3,,,,10,11,1,1,2,30,6000,4500,3800,0,,3600,17900,1,1,3,
"106300050604","10630005060401",1,,4,2,,17,10,,,,,,,,,,,,,,,,,
"106300050604","1063000506040",2,"10630005060401",3,2,,16,3,,,,,,,,,,,,,,,,,
"1063000508","106300050802",1,,4,2,,16,10,,,,,,,,,,,,,,,,,
"1063000508","106300050803",2,"106300050802",1,1,10,,,,,,,,,,,,,,,,,,,
"1063000508","106300050801",2,"106300050802",4,2,,15,9,,,,,,,,,,,,,,,,,
"1063000509","106300050903",2,"106300050901",1,3,,,,11,12,1,1,5,60,20000,5000,12000,0,,0,37000,1,1,3,
"1063000509","106300050904",2,"106300050901",1,3,,,,1,1,1,1,5,90,0,0,9000,0,,0,9000,1,1,3,
"1063000509","106300050901",1,,1,2,,14,3,,,,,,,,,,,,,,,,,
"1063000509","106300050905",2,"106300050901",1,1,96,,,,,,,,,,,,,,,,,,,
"1063000509","106300050902",1,,4,2,,17,9,,,,,,,,,,,,,,,,,
"1063000510","106300051001",2,"106300051002",4,2,,14,3,,,,,,,,,,,,,,,,,
"1063000510","106300051007",2,"106300051002",4,2,,14,3,,,,,,,,,,,,,,,,,
"1063000510","106300051005",2,"106300051002",2,3,,,,11,12,1,1,2,60,0,5000,15000,0,,0,20000,2,,3,
"1063000510","106300051002",1,,1,2,,11,5,,,,,,,,,,,,,,,,,
"1063000510","106300051003",2,"106300051002",4,3,,,,13,13,1,1,2,50,0,5000,15000,0,,0,20000,2,,3,
"106300051003","1063000510030",1,,4,2,,17,3,,,,,,,,,,,,,,,,,
"106300051003","10630005100302",1,,4,2,,34,9,,,,,,,,,,,,,,,,,
"106300051004","10630005100402",2,"106300050401",1,1,96,,,,,,,,,,,,,,,,,,,
"106300051004","10630005100403",2,"106300050401",4,2,,17,3,,,,,,,,,,,,,,,,,
"106300051004","10630005100408",2,"106300050401",4,3,,,,13,14,1,1,2,30,0,0,8000,0,,7500,15500,1,1,3,
"106300051004","10630005100401",1,,4,2,,16,3,,,,,,,,,,,,,,,,,
"106300051004","10630005100407",2,"106300050401",4,3,,,,12,13,1,1,,,0,0,7500,0,,7500,15000,2,,3,
"106300051004","1063000510040",2,"106300050401",4,3,,,,12,13,1,1,,,0,7000,7500,0,,7500,22000,1,1,3,
"106300051007","10630005100702",1,,2,2,,31,5,,,,,,,,,,,,,,,,,
"106300051007","10630005100701",1,,4,2,,16,2,,,,,,,,,,,,,,,,,
"106300051007","1063000510070",2,"10630005070301",1,3,,,,1,1,2,1,1,20,36000,15000,15000,0,,0,66000,2,,2,
"106300051007","10630005100704",2,"10630005070301",1,3,,,,1,1,2,1,1,20,36000,15000,15000,0,,0,66000,2,,1,
"106300051007","10630005100308",2,"10630005070301",1,3,,,,1,1,2,1,1,20,36000,15000,15000,0,,0,66000,2,,2,
"106300051008","10630005100801",1,,1,1,8,,,,,,,,,,,,,,,,,,,
"106300051008","10630005100802",2,"10630005080501",4,3,,,,31,32,2,3,,,270000,0,30000,0,0,20000,320000,2,,,
"106300051008","10630005100807",2,"10630005080501",1,3,,,,1,10,1,1,,,20000,6000,3000,0,,10000,39000,1,1,3,
"106300051008","10630005100803",1,,4,3,,,,14,15,1,1,1,20,0,0,9000,0,,30000,39000,1,1,3,
"106300051008","1063000510090",2,"10630005080501",4,3,,,,10,11,1,1,1,45,0,7000,3000,0,,10000,20000,1,1,3,
"106300051008","10630005100804",2,"10630005080501",4,3,,,,13,14,1,1,1,25,0,0,6000,0,,20000,26000,1,1,3,
"1063000511","106300051104",2,"106300051101",4,3,,,,11,12,1,1,4,60,0,4500,3000,0,,0,7500,1,1,3,
"1063000511","106300051110",2,"106300051101",4,3,,,,11,12,1,1,4,60,0,0,3000,0,,0,3000,1,1,3,
"1063000511","106300051101",1,,1,1,8,,,,,,,,,,,,,,,,,,,
"1063000701","106300070104",2,"106300070101",4,3,,,,11,12,2,1,,,75000,15000,13500,0,,45000,148500,2,,3,
"1063000701","106300070103",2,"106300070101",4,3,,,,11,12,2,1,,,75000,15000,13500,0,,45000,148500,2,,3,
"1063000701","106300070101",1,,4,2,,41,1,,,,,,,,,,,,,,,,,
"1063000702","106300070205",2,"106300070201",4,3,,,,10,11,2,3,2,60,75000,8000,15000,0,0,0,98000,2,,,
"1063000702","106300070204",2,"106300070201",1,1,96,,,,,,,,,,,,,,,,,,,
"1063000702","106300070206",2,"106300070201",4,3,,,,10,11,2,3,2,60,75000,15000,15000,0,0,0,105000,2,,,
"1063000702","106300070201",1,,4,2,,17,9,,,,,,,,,,,,,,,,,
"1063000702","106300070202",2,"106300070201",4,2,,16,3,,,,,,,,,,,,,,,,,
"1063000702","106300070203",2,"106300070201",4,3,,,,11,12,2,3,2,60,84000,0,15000,0,0,0,99000,2,,,
"1063000703","106300070307",2,"106300070304",2,3,,,,12,13,2,1,2,60,86000,6500,0,0,,0,92500,2,,2,
"1063000703","106300070304",1,,4,3,,,,15,16,2,1,2,60,105000,0,0,0,,0,105000,2,,2,
"1063000703","106300070305",2,"106300070304",4,3,,,,13,14,2,1,,,87000,6500,0,0,,0,93500,2,,2,
"1063000703","106300070301",1,,4,2,,15,10,,,,,,,,,,,,,,,,,
"1063000703","106300070302",2,"106300070301",4,2,,14,10,,,,,,,,,,,,,,,,,
"1063000703","106300070303",2,"106300070301",1,2,,13,10,,,,,,,,,,,,,,,,,
"1063000703","106300070306",2,"106300070304",1,3,,,,11,12,2,1,,,45000,0,0,0,,0,45000,2,,2,
"1063000703","106300070308",2,"106300070304",4,3,,,,10,11,2,1,2,60,78000,6500,3000,0,,0,87500,2,,2,
"1063000704","106300070401",2,"106300070402",4,2,,51,3,,,,,,,,,,,,,,,,,
"1063000704","106300070404",2,"106300070401",4,2,,36,3,,,,,,,,,,,,,,,,,
"1063000704","106300070402",1,,4,2,,51,3,,,,,,,,,,,,,,,,,
"1063000704","106300070406",2,"106300070401",4,3,,,,13,12,2,3,,,540000,28000,15000,0,0,60000,643000,2,,,
"1063000705","106300070501",1,,1,2,,15,12,,,,,,,,,,,,,,,,,
"1063000706","106300070602",2,"106300070601",4,2,,32,3,,,,,,,,,,,,,,,,,
"1063000706","106300070604",2,"106300070601",3,3,,,,10,11,1,1,0,15,24000,0,6000,0,,40000,70000,1,1,3,
"1063000706","106300070601",1,,4,2,,35,3,,,,,,,,,,,,,,,,,
"1063000706","106300070603",2,"106300070601",4,3,,,,12,13,2,2,,,600000,25000,60000,0,0,50000,735000,2,,,
"1063000707","106300070702",1,,1,2,13,12,,,,,,,,,,,,,,,,,,
"1063000707","106300070714",2,"106300070702",4,3,,,,10,11,4,1,1,15,36000,0,86000,0,,6000,50600,2,,2,
"1063000707","106300070703",2,"106300070702",4,2,,16,3,,,,,,,,,,,,,,,,,
"1063000707","106300070717",2,"106300070702",1,3,,,,1,10,2,1,1,30,30000,10000,55000,0,,5000,50500,2,,3,
"1063000707","106300070704",2,"106300070702",4,2,,99,3,,,,,,,,,,,,,,,,,
"1063000707","106300070701",2,"106300070702",1,1,8,,,,,,,,,,,,,,,,,,,
"1063000707","106300070716",2,"106300070702",4,3,,,,10,11,2,1,1,20,0,0,0,0,,0,,2,,3,
"1063000707","106300070715",2,"106300070702",4,3,,,,10,10,1,3,2,30,0,0,0,0,0,0,,1,1,,
"1063000709","106300070901",1,,4,2,,15,3,,,,,,,,,,,,,,,,,
"1063000709","106300070903",2,"106300070901",1,3,,,,10,10,1,1,0,15,0,4000,7500,0,,0,11500,2,,3,
"1063000709","106300070904",2,"106300070901",1,2,,16,3,,,,,,,,,,,,,,,,,
"1063000709","106300070902",2,"106300070901",4,3,,,,40,40,2,1,0,15,75000,0,0,0,,0,75000,1,2,1,
"1063000710","106300071004",2,"106300071002",1,3,,,,11,12,2,1,1,30,75000,0,30000,0,,0,105000,2,,2,
"1063000710","106300071005",2,"106300071002",1,3,,,,1,10,2,1,1,30,40000,0,18000,0,,0,58000,2,,2,
"1063000710","106300071001",2,"106300071002",4,2,,16,3,,,,,,,,,,,,,,,,,
"1063000710","106300071002",1,,4,2,,34,3,,,,,,,,,,,,,,,,,
"1063000710","106300071003",2,"106300071002",1,3,,,,11,12,2,1,1,30,75000,0,30000,0,,0,105000,2,,2,
"1063000710","106300071006",2,"106300071002",1,1,10,,,,,,,,,,,,,,,,,,,
"1063000711","106300071102",1,,4,3,,,,30,31,4,3,2,50,294000,16500,25000,0,0,0,335500,2,,,
"1063000711","106300071103",2,"106300071101",4,3,,,,14,15,2,3,0,15,105000,11000,18500,0,0,1000,135500,2,,,
"1063000711","106300071101",1,,4,2,,32,3,,,,,,,,,,,,,,,,,
"1063000711","106300071110",2,"106300071101",4,3,,,,1,10,2,3,0,15,60000,11000,8000,0,0,1000,80000,2,,,
"1063000711","106300071105",2,"106300071101",1,1,96,,,,,,,,,,,,,,,,,,,
"1063000711","106300071104",2,"106300071101",4,3,,,,1,10,2,3,0,15,60000,11000,8000,0,0,0,79000,2,,,
"1063000902","106300090204",2,"106300090201",3,3,,,,10,11,2,1,0,10,90000,10000,20000,0,,0,100000,2,,1,
"1063000902","106300090202",2,"106300090201",4,2,,15,3,,,,,,,,,,,,,,,,,
"1063000902","106300090206",1,,4,2,,22,3,,,,,,,,,,,,,,,,,
"1063000902","106300090203",2,"106300090201",4,3,,,,33,34,2,3,3,60,180000,30000,60000,0,0,0,270000,2,,,
"1063000902","106300090201",1,,4,2,,32,3,,,,,,,,,,,,,,,,,
"1063000903","106300090301",1,,1,2,,13,3,,,,,,,,,,,,,,,,,
"1063000905","106300090504",2,"106300090502",4,3,,,,12,12,2,3,,,210000,12000,21000,12000,180000,50000,485000,2,,,
"1063000905","106300090505",2,"106300090502",1,3,,,,1,10,2,1,,,150000,10000,5000,30000,,0,195000,2,,3,
"1063000905","106300090501",2,"106300090502",4,2,,17,3,,,,,,,,,,,,,,,,,
"1063000905","106300090503",2,"106300090502",4,3,,,,12,13,2,3,,,210000,12000,21000,12000,180000,50000,485000,2,,,
"1063000905","106300090506",2,"106300090502",1,3,,,,1,10,2,1,1,30,75000,0,4000,0,,10000,89000,2,,3,
"1063000905","106300090502",1,,4,2,,15,3,,,,,,,,,,,,,,,,,
"1063000907","106300090702",1,,1,1,8,,,,,,,,,,,,,,,,,,,
"1063000907","106300090703",2,"106300090701",4,3,,,,10,11,1,1,1,20,10000,0,5000,0,,0,15000,1,1,3,
"1063000907","106300090701",1,,1,1,8,,,,,,,,,,,,,,,,,,,
"1063000908","106300090808",2,"106300090801",1,1,96,,,,,,,,,,,,,,,,,,,
"1063000908","106300090801",1,,4,2,,17,96,,,,,,,,,,,,,,,,,
"1063000908","106300090803",2,"106300090802",4,2,,17,12,,,,,,,,,,,,,,,,,
"1063000908","106300090805",2,"106300090802",3,3,,,,12,13,1,1,2,30,0,0,6000,0,,12000,18000,1,1,2,
"1063000908","106300090806",2,"106300090801",3,3,,,,11,12,1,1,2,30,0,3500,5000,0,,12000,20500,1,1,2,
"1063000908","106300090804",2,"106300090802",4,3,,,,33,14,1,1,2,30,0,6000,6000,0,,12000,24000,1,1,2,
"1063000908","106300090802",1,,4,2,,15,3,,,,,,,,,,,,,,,,,
"1063000908","106300090809",2,"106300090801",1,1,96,,,,,,,,,,,,,,,,,,,
"1063000908","106300090807",2,"106300090801",1,1,96,,,,,,,,,,,,,,,,,,,
"1063000909","106300090901",1,,4,2,,14,3,,,,,,,,,,,,,,,,,
"1063000909","106300090903",1,,4,3,,,,14,15,2,1,2,60,75000,0,12000,0,,9000,96000,2,,3,
"1063000909","106300090908",1,,4,2,,15,3,,,,,,,,,,,,,,,,,
"1063000909","106300090906",2,"106300090902",1,3,,,,1,1,2,1,2,45,60000,10000,1000,0,,0,71000,2,,3,
"1063000909","106300090904",2,"106300090902",4,3,,,,12,11,2,1,2,60,54000,0,10000,0,,9000,73000,2,,3,
"1063000909","106300090905",2,"106300090902",1,3,,,,10,1,4,1,2,45,120000,10000,15000,0,,0,145000,2,,3,
"1063000909","106300090902",1,,4,2,,17,96,,,,,,,,,,,,,,,,,
"1063000909","106300090909",2,"106300090902",4,3,,,,13,13,2,1,2,60,75000,0,12000,0,,9000,96000,2,,3,
"1063000912","106300091202",2,"106300091201",4,3,,,,14,14,1,1,1,20,5000,0,7500,0,,3500,16000,1,1,3,
"1063000912","106300091203",2,"106300091201",4,3,,,,11,12,1,1,1,20,5000,0,7500,0,,4500,17000,1,1,3,
"1063000912","106300091201",1,,1,1,8,,,,,,,,,,,,,,,,,,,
"1071000101","107100010103",2,"107100010102",3,3,,,,1,10,2,1,0,15,180000,25000,20000,0,,15000,241000,2,,2,
"1071000101","107100010101",2,"107100010103",4,2,,33,3,,,,,,,,,,,,,,,,,
"1071000101","107100010102",1,,4,2,,33,3,,,,,,,,,,,,,,,,,
"1071000102","107100010201",2,"107100010202",,,,,,,,,,,,,,,,,,,,,,
"1071000103","107100010302",,,,,,,,,,,,,,,,,,,,,,,,2
"1071000103","107100010301",,,,,,,,,,,,,,,,,,,,,,,,1
"1071000104","107100010401",2,"107100010402",4,3,,,,61,61,2,3,150,180,1500000,0,50000,200000,0,100000,1950000,2,,,
"1071000104","107100010405",2,"107100010402",4,3,,,,16,30,2,3,1,20,300000,20000,50000,0,0,60000,4300000,2,,,
"1071000104","107100010403",2,"107100010402",4,3,,,,1,10,2,1,0,3,420000,20000,30000,0,,0,470000,2,,1,
"1071000104","107100010402",1,,4,2,,51,3,,,,,,,,,,,,,,,,,
"1071000106","107100010601",1,,4,2,,32,96,,,,,,,,,,,,,,,,,
"1071000106","107100010619",1,,4,2,,12,3,,,,,,,,,,,,,,,,,
"1071000106","107100010603",2,"107100010601",1,3,,,,1,10,2,1,1,45,0,40000,10800,0,,6000,56800,2,,1,
"1071000106","107100010617",2,"107100010601",4,3,,,,31,32,2,3,0,20,0,0,0,0,0,0,,2,,,
"1071000106","107100010604",2,"107100010601",4,3,,,,12,12,2,1,1,45,234000,15000,11200,0,,51000,311200,2,,2,
"1071000106","107100010605",2,"107100010601",4,3,,,,10,11,2,1,1,45,234000,30000,10800,0,,51000,325800,2,,2,
"1071000106","107100010606",2,"107100010601",4,1,96,,,,,,,,,,,,,,,,,,,
"1071000106","107100010602",2,"107100010601",4,2,,31,96,,,,,,,,,,,,,,,,,
"1071000106","107100010611",2,"107100010601",4,1,96,,,,,,,,,,,,,,,,,,,
"1071000106","107100010618",2,"107100010601",4,3,,,,32,33,2,3,2,60,0,0,0,0,0,0,,2,,,
"1071000110","107100011005",2,"107100011001",4,3,,,,61,61,2,3,118,280,1000000,0,10000,250000,0,150000,1410000,2,,,
"1071000110","107100011002",2,"107100011001",4,3,,,,34,35,2,3,,,900000,250000,150000,0,75000,0,2050000,2,,,
"1071000110","107100011001",1,,4,2,,15,9,,,,,,,,,,,,,,,,,
"1071000110","107100011003",2,"107100011001",4,3,,,,30,31,2,3,0,10,249000,12000,27000,0,0,15000,303000,2,,,
"1071000111","107100011102",1,,4,2,,34,1,,,,,,,,,,,,,,,,,
"1071000201","107100020104",2,"107100020102",4,3,,,,12,13,2,1,0,20,210000,15000,36000,0,,0,261000,2,,1,
"1071000201","107100020105",2,"107100020102",2,3,,,,1,1,2,1,0,2,270000,30000,12000,0,,5500,317500,2,,1,
"1071000201","107100020102",1,,4,2,,34,13,,,,,,,,,,,,,,,,,
"1071000201","107100020107",2,"107100020102",4,3,,,,40,40,2,1,2,45,150000,0,4500,0,,0,154500,2,,3,
"1071000201","107100020101",2,"107100020102",4,2,,41,1,,,,,,,,,,,,,,,,,
"1071000205","107100020508",2,"107100020502",4,2,,13,11,,,,,,,,,,,,,,,,,
"1071000205","107100020505",2,"107100020501",4,3,,,,32,33,2,2,,,0,0,40000,21000,1170000,300000,1531000,2,,,
"1071000205","107100020501",1,,4,2,,36,3,,,,,,,,,,,,,,,,,
"1071000205","107100020502",1,,4,2,,51,3,,,,,,,,,,,,,,,,,
"1071000205","107100020507",2,"107100020502",1,1,10,,,,,,,,,,,,,,,,,,,
"1071000205","107100020504",2,"107100020501",4,3,,,,35,35,2,2,,,0,0,50000,50000,500000,300000,900000,2,,,
"1071000206","107100020603",2,"107100020602",4,3,,,,16,16,2,2,,,450000,33000,10000,0,0,0,493000,2,,,
"1071000206","107100020604",2,"107100020602",2,3,,,,11,12,2,1,0,30,180000,46000,15000,0,,0,241000,2,,3,
"1071000206","107100020605",2,"107100020602",2,3,,,,1,10,2,1,0,35,120000,20000,15000,0,,0,155000,2,,3,
"1071000206","107100020602",1,,4,2,,17,96,,,,,,,,,,,,,,,,,
"1071000206","107100020601",2,"107100020602",4,2,,16,10,,,,,,,,,,,,,,,,,
"1071000207","107100020706",1,,4,3,,,,14,15,1,1,3,50,7000,0,6500,0,,0,13500,1,1,3,
"1071000207","107100020702",1,,4,2,,34,3,,,,,,,,,,,,,,,,,
"1071000207","107100020701",2,"107100020702",4,2,,17,3,,,,,,,,,,,,,,,,,
"1071000207","107100020707",2,"107100020702",4,3,,,,30,31,2,1,,,0,0,22500,0,,0,22500,2,,1,
"1071000208","107100020805",2,"107100020801",4,3,,,,13,14,2,3,0,5,270000,0,30000,0,0,42500,342500,2,,,
"1071000208","107100020804",2,"107100020801",4,3,,,,16,16,2,3,0,5,270000,0,30000,0,0,42500,342500,2,,,
"1071000208","107100020802",2,"107100020801",4,2,,32,3,,,,,,,,,,,,,,,,,
"1071000208","107100020803",2,"107100020801",4,3,,,,12,13,2,3,0,5,255000,0,21000,0,0,42500,318500,2,,,
"1071000208","107100020801",1,,4,2,,34,3,,,,,,,,,,,,,,,,,
"1071000209","107100020902",1,,4,2,,34,3,,,,,,,,,,,,,,,,,
"1071000209","107100020904",2,"107100020902",4,3,,,,14,15,2,2,,,390000,15000,17400,16000,0,20000,458400,2,,,
"1071000209","107100020911",2,"107100020902",4,3,,,,16,30,1,1,,,0,10000,10000,0,,5000,25000,2,,2,
"1071000209","107100020903",2,"107100020902",4,3,,,,32,33,2,1,4,30,495000,40000,85000,0,,100000,720000,2,,2,
"1071000209","107100020910",2,"107100020902",4,2,,34,3,,,,,,,,,,,,,,,,,
"1071000209","107100020909",2,"107100020902",4,3,,,,34,35,2,1,,,450000,0,60000,0,,120000,630000,2,,2,
"1071000209","107100020908",2,"107100020902",4,2,,51,3,,,,,,,,,,,,,,,,,
"1071000209","107100020905",2,"107100020902",3,3,,,,1,10,2,1,0,10,150000,0,12000,0,,0,162000,2,,3,
"1071000209","107100020901",2,"107100020902",4,2,,36,3,,,,,,,,,,,,,,,,,
"1071000210","107100021004",2,"107100021002",4,3,,,,31,32,1,3,3,40,165000,15000,60000,0,0,30000,270000,2,,,
"1071000210","107100021002",1,,4,2,,51,3,,,,,,,,,,,,,,,,,
"1071000210","107100021001",2,"107100021002",4,2,,32,3,,,,,,,,,,,,,,,,,
"1071000210","107100021003",2,"107100021002",1,2,,13,11,,,,,,,,,,,,,,,,,
"1073000801","107300080101",1,,1,1,9,,,,,,,,,,,,,,,,,,,
"1073000801","107300080102",2,"107300080101",1,1,1,,,,,,,,,,,,,,,,,,,
"1073000801","107300080103",2,"107300080101",4,3,,,,13,14,1,1,2,60,12000,0,10000,0,,0,22000,1,1,3,
"1073000801","107300080105",2,"107300080104",1,3,,,,1,10,2,2,,,0,0,20000,0,0,0,20000,2,,,
"1073000801","107300080104",1,,1,3,,,,1,10,1,1,2,2,12000,0,5000,0,,0,17000,1,1,3,
"1073000803","107300080303",2,"107300080301",1,3,,,,10,10,1,1,0,3,0,10000,5000,0,,9000,24000,1,1,2,
"1073000803","107300080301",1,,1,1,1,,,,,,,,,,,,,,,,,,,
"1073000803","107300080302",2,"107300080301",1,3,,,,10,10,1,1,0,3,0,10000,5000,0,,9000,24000,2,,2,
"1073000807","107300080702",2,"107300080701",1,2,,99,96,,,,,,,,,,,,,,,,,
"1073000807","107300080701",1,,1,2,,12,6,,,,,,,,,,,,,,,,,
"1073000808","107300080801",2,"107300080808",4,2,,99,4,,,,,,,,,,,,,,,,,
"1073000808","107300080802",2,"107300080808",4,2,,16,96,,,,,,,,,,,,,,,,,
"1073000808","107300080808",1,,4,2,,15,4,,,,,,,,,,,,,,,,,
"1073000808","107300080804",2,"107300080808",1,3,,,,10,10,1,1,0,5,36000,0,4500,0,,0,40500,1,1,3,
"1073000808","107300080803",2,"107300080808",4,3,,,,11,12,1,1,0,5,36000,0,4500,0,,0,40500,1,1,3,
"1073001201","107300120101",1,,4,2,,14,3,,,,,,,,,,,,,,,,,
"1073001201","107300120104",2,"107300120101",1,1,10,,,,,,,,,,,,,,,,,,,
"1073001201","107300120103",2,"107300120101",1,3,,,,12,12,1,1,6,60,0,0,24000,0,,18000,42000,1,1,3,
"1073001202","107300120202",1,,4,2,,31,9,,,,,,,,,,,,,,,,,
"1073001202","107300120201",1,,1,2,,13,3,,,,,,,,,,,,,,,,,
"107300120302","10730012030204",2,"10730012030207",3,3,,,,10,11,2,1,3,40,40000,0,10000,0,,17000,67000,2,,2,
"107300120302","10730012030202",2,"10730012030207",4,2,,15,3,,,,,,,,,,,,,,,,,
"107300120302","1073001203030",2,"10730012030207",3,3,,,,11,11,2,1,,,40000,0,10000,0,,15000,65000,2,,2,
"107300120302","10730012030207",1,,4,2,,16,3,,,,,,,,,,,,,,,,,
"107300120302","10730012030203",2,"10730012030207",4,2,,14,3,,,,,,,,,,,,,,,,,
"107300120302","10730012030201",1,,1,1,8,,,,,,,,,,,,,,,,,,,
"1073001205","107300120501",1,,2,2,,14,12,,,,,,,,,,,,,,,,,
"1073001205","107300120505",2,"107300120501",4,2,,16,3,,,,,,,,,,,,,,,,,
"1073001205","107300120507",2,"107300120501",1,3,,,,1,10,1,1,2,40,0,0,0,0,,0,,1,1,2,
"1073001205","107300120506",2,"107300120501",1,3,,,,11,12,1,1,2,40,0,0,0,0,,0,,1,1,2,
"1073001206","107300120601",1,,4,2,,14,3,,,,,,,,,,,,,,,,,
"1073001207","107300120705",2,"107300120701",1,3,,,,1,10,1,1,1,25,0,0,8000,0,,24000,32000,2,,2,
