"year","HHID","h15bq2","h15bq3b","h15bq3c","h15bq4","h15bq5","h15bq6","h15bq7","h15bq8","h15bq9","h15bq10","h15bq11","h15bq12","h15bq13"
2009,"1083002006",136,6,64,12,2400,,,,,,,200,
2009,"1083002006",135,7,64,1,500,,,,,,,500,
2009,"1083002006",150,7,54,1,400,,,,,,,400,
2009,"1083002006",141,3,1,3,6600,,,,,,,2200,
2009,"1083002006",138,3,64,,,,,3,600,,,,200
2009,"1083002006",110,1,1,1,2200,,,,,,,2200,
2009,"1083002006",130,1,64,,,,,3,1500,,,,500
2009,"1083002006",113,1,1,1,1400,,,,,,,1400,
2009,"1083002006",137,2,85,2,1000,,,,,,,500,
2009,"1083002006",127,3,4,10,1000,,,,,,,100,
2009,"1083002006",112,3,85,,,,,30,3000,,,,100
2009,"1083002007",122,1,58,1,1000,,,,,,,1000,
2009,"1083002007",117,2,1,0.5,3000,,,,,,,6000,
2009,"1083002007",155,7,85,28,2100,,,,,,,75,
2009,"1083002007",113,2,1,1,1200,,,,,,,1200,
2009,"1083002007",150,7,54,1,300,,,,,,,300,
2009,"1083002007",135,7,66,1,250,,,,,,,250,
2009,"1083002007",100,1,70,1,1300,,,,,,,1300,
2009,"1083002007",127,7,4,7,700,,,,,,,100,
2009,"1083002007",147,7,1,1,2200,,,,,,,2200,
2009,"1083002007",149,7,54,1,300,,,,,,,300,
2009,"1083002007",125,3,32,3,900,,,,,,,300,
2009,"1083002007",136,7,64,7,700,,,,,,,100,
2009,"1083002007",105,1,64,1,1000,,,,,,,1000,
2009,"1083002007",153,7,28,7,3500,,,,,,,500,
2009,"1083002007",144,3,1,0.5,1700,,,,,,,3400,
2009,"1083002007",107,1,64,1,1000,,,,,,,1000,
2009,"1083002008",148,7,54,1,300,,,,,,,300,
2009,"1083002008",136,7,64,5,1000,,,,,,,200,
2009,"1083002008",141,2,1,,,,,1,1500,,,,1500
2009,"1083002008",139,1,66,,,,,1,200,,,,200
2009,"1083002008",137,1,85,1,1000,,,,,,,1000,
2009,"1083002008",149,7,54,4,400,,,,,,,100,
2009,"1083002008",127,3,4,3,600,,,,,,,200,
2009,"1083002008",138,2,66,,,,,2,600,,,,300
2009,"1083002008",135,7,64,0.25,250,,,,,,,1000,
2009,"1083002008",144,1,1,0.25,700,,,,,,,2800,
2009,"1083002008",108,1,1,1,900,,,,,,,900,
2009,"1083002008",114,2,41,,,,,,,1,2000,2000,
2009,"1083002008",112,3,85,,,,,6,1800,,,,300
2009,"1083002008",147,4,1,0.5,1200,,,,,,,2400,
2009,"1083002008",123,2,55,2,2400,,,,,,,1200,
2009,"1083002008",105,7,64,,,,,7,7000,,,,1000
2009,"1083002008",107,1,64,,,,,1,1000,,,,1000
2009,"1083002008",134,1,85,,,,,1,500,,,,500
2009,"1083002008",150,7,1,0.25,200,,,,,,,800,
2009,"1083002009",102,2,68,,,,,1,8000,,,,8000
2009,"1083002009",107,1,64,,,,,1,1000,,,,1000
2009,"1083002009",141,2,1,0.5,1350,,,,,,,2700,
2009,"1083002009",135,7,64,1,500,,,,,,,500,
2009,"1083002009",113,2,1,1,1000,,,,,,,1000,
2009,"1083002009",147,7,1,2,5000,,,,,,,2500,
2009,"1083002009",134,5,85,,,,,5,2500,,,,500
2009,"1083002009",133,1,64,1,300,,,,,,,300,
2009,"1083002009",136,7,64,7,700,,,,,,,100,
2009,"1083002009",157,7,,,,,14000,,,,,,
2009,"1083002009",149,7,54,1,100,,,,,,,100,
2009,"1083002009",122,1,55,1,3000,,,,,,,3000,
2009,"1083002009",121,1,85,,,,,1,10000,,,,10000
2009,"1083002009",110,2,1,1,2000,,,,,,,2000,
2009,"1083002009",125,3,3,3,1800,,,,,,,600,
2009,"1083002009",150,7,1,0.25,200,,,,,,,800,
2009,"1083002009",127,6,4,18,5400,,,,,,,300,
2009,"1083002010",144,2,1,,,,,1,3000,,,,3000
2009,"1083002010",108,1,1,,,,,2.5,3000,,,,1200
2009,"1083002010",136,7,64,7,3500,,,,,,,500,
2009,"1083002010",130,2,64,2,800,,,,,,,400,
2009,"1083002010",147,7,1,1,2600,,,,,,,2600,
2009,"1083002010",123,5,55,,,,,,,5,10000,2000,
2009,"1083002010",125,7,3,,,,,7,4200,,,,600
2009,"1083002010",127,7,17,,,,,,,0.25,1625,6500,
2009,"1083002010",149,7,54,1,200,,,,,,,200,
2009,"1083002010",105,3,39,,,,,3,9000,,,,3000
2009,"1083002010",150,7,1,,,,,,,0.25,200,500,
2009,"1083002010",103,2,69,,,,,2,5000,,,,2500
2009,"1083002010",114,2,41,1,2200,,,,,,,2200,
2009,"1083002010",133,2,64,2,200,,,,,,,100,
2009,"1083002010",107,3,64,,,,,6,6000,,,,1000
2009,"1083002010",151,1,26,,,4,2400,,,,,600,
2009,"1083002010",131,1,70,,,1,300,,,,,300,
2009,"1083002010",135,7,64,7,700,,,,,,,100,
2009,"1083002010",134,5,85,,,,,5,2500,,,,500
2009,"1083002010",139,2,66,2,400,,,,,,,200,
2009,"1083002010",110,1,1,,,,,,,0.5,1200,2400,
2009,"1083002301",126,7,1,1,6000,,,,,,,6000,
2009,"1083002301",138,3,66,,,,,3,900,,,,300
2009,"1083002301",150,7,54,0.5,250,,,,,,,500,
2009,"1083002301",149,7,54,1,100,,,,,,,100,
2009,"1083002301",137,2,85,1,500,,,,,,,500,
2009,"1083002301",136,7,64,7,1400,,,,,,,200,
2009,"1083002301",135,7,64,7,700,,,,,,,100,
2009,"1083002301",110,1,1,1,2400,,,,,,,2400,
2009,"1083002301",113,2,1,1,1600,,,,,,,1600,
2009,"1083002301",127,7,3,0.5,2000,,,,,,,4000,
2009,"1083002301",141,1,1,0.5,1100,,,,,,,2200,
2009,"1083002301",105,1,64,2,2000,,,,,,,1000,
2009,"1083002301",147,7,1,1.5,3750,,,,,,,2500,
2009,"1083002301",104,1,64,1,3000,,,,,,,3000,
2009,"1083002302",127,7,3,0.5,3600,,,,,,,7200,
2009,"1083002302",109,2,64,4,2000,,,,,,,500,
2009,"1083002302",135,7,64,2,1000,,,,,,,500,
2009,"1083002302",137,2,85,1,500,,,,,,,500,
2009,"1083002302",107,1,64,1,2000,,,,,,,2000,
2009,"1083002302",149,7,54,2,200,,,,,,,100,
2009,"1083002302",136,7,64,5,2000,,,,,,,400,
2009,"1083002302",105,2,64,2,2000,,,,,,,1000,
2009,"1083002302",138,2,66,2,1000,,,,,,,500,
2009,"1083002302",122,1,55,2,2000,,,,,,,1000,
2009,"1083002302",141,7,1,,,,,,,4,7200,1800,
2009,"1083002302",144,7,1,1,2500,,,,,,,2500,
2009,"1083002302",114,3,43,20,2000,,,,,,,100,
2009,"1083002302",117,1,1,0.5,2500,,,,,,,5000,
2009,"1083002302",131,4,70,,,,,,,2,3000,1500,
2009,"1083002302",102,7,68,0.899999976158142,13500,,,,,,,15000,
2009,"1083002302",121,1,85,1,6000,,,,,,,6000,
2009,"1083002302",123,1,55,1,1500,,,,,,,1500,
2009,"1083002302",108,7,1,1.5,1500,,,,,,,1000,
2009,"1083002302",147,7,1,1,2400,,,,,,,2400,
2009,"1083002302",113,5,1,2,2400,,,,,,,1200,
2009,"1083002302",150,7,1,0.5,400,,,,,,,800,
2009,"1083002303",114,7,44,35,7000,,,,,,,200,
2009,"1083002303",149,7,54,1,100,,,,,,,100,
2009,"1083002303",150,7,1,0.200000002980232,125,,,,,,,1000,
2009,"1083002303",141,2,1,1,2000,,,,,,,2000,
2009,"1083002303",151,7,26,2,1200,,,,,,,600,
2009,"1083002303",157,7,,,,,35000,,,,,,
2009,"1083002303",127,2,4,2,400,,,,,,,200,
2009,"1083002303",133,3,64,4,2000,,,,,,,500,
2009,"1083002303",135,7,66,1,500,,,,,,,500,
2009,"1083002303",147,7,1,2,4800,,,,,,,2400,
2009,"1083002303",136,7,64,2,1000,,,,,,,500,
2009,"1083002303",110,2,1,1,2000,,,,,,,2000,
2009,"1083002303",121,2,85,1,20000,,,,,,,20000,
2009,"1083002303",102,3,68,1,3000,,,,,,,3000,
2009,"1083002303",125,7,3,7,7000,,,,,,,1000,
2009,"1083002303",117,1,1,1,5000,,,,,,,5000,
2009,"1083002303",139,1,66,1,1000,,,,,,,1000,
2009,"1083002303",118,1,1,1,7000,,,,,,,7000,
2009,"1083002303",107,2,64,3,6000,,,,,,,2000,
2009,"1083002303",105,4,38,,,,,,,1,700,700,
2009,"1083002303",132,3,64,4,2000,,,,,,,500,
2009,"1083002304",113,1,1,,,,,0.5,600,2,4400,2200,1200
2009,"1083002304",105,2,64,,,,,2,2000,,,,1000
2009,"1083002304",139,7,64,,,,,7,700,,,,100
2009,"1083002304",149,7,54,,,,,,,1,100,100,
2009,"1083002304",137,2,85,,,,,2,1000,,,,500
2009,"1083002304",114,7,41,,,,,,,2,4400,2200,
2009,"1083002304",110,1,1,,,,,,,0.5,1200,2400,
2009,"1083002304",147,7,1,,,,,,,2,5000,2500,
2009,"1083002304",150,7,54,0.100000001490116,25,,,,,,,250,
2009,"1083002304",134,7,85,,,,,30,3000,,,,100
2009,"1083002304",127,2,4,1,300,,,,,,,300,
2009,"1083002304",140,3,32,,,,,3,3000,,,,1000
2009,"1083002304",102,3,68,1,10000,,,,,,,10000,
2009,"1083002304",160,,,,2000,,,,,,,,
2009,"1083002304",135,7,64,,,,,1,100,,,,100
2009,"1083002304",136,7,64,1,1000,,,,,,,1000,
2009,"1083002304",107,2,64,,,,,2,2000,,,,1000
2009,"1083002305",161,,,,5000,,,,,,,,
2009,"1083002305",157,7,,,20000,,,,,,,,
2009,"1083002306",131,4,68,,,,,0.25,500,,,,2000
2009,"1083002306",149,7,54,1,100,,,,,,,100,
2009,"1083002306",114,2,42,1,1800,,,,,,,1800,
2009,"1083002306",157,7,,,2000,,,,,,,,
2009,"1083002306",103,7,69,,,,,1,5000,,,,5000
2009,"1083002306",144,7,1,1,3500,,,,,,,3500,
2009,"1083002306",150,7,54,0.25,125,,,,,,,500,
2009,"1083002306",125,3,32,4,2000,,,,,,,500,
2009,"1083002306",147,7,1,1,2400,,,,,,,2400,
2009,"1083002307",136,2,64,2,400,,,,,,,200,
2009,"1083002307",141,2,1,0.5,900,,,,,,,1800,
2009,"1083002307",151,1,26,2,1400,,,,,,,700,
2009,"1083002307",107,2,64,,,,,2,2000,,,,1000
2009,"1083002307",150,2,54,0.200000002980232,100,,,,,,,500,
2009,"1083002307",135,2,64,2,200,,,,,,,100,
2009,"1083002307",149,7,54,1,100,,,,,,,100,
2009,"1083002307",127,2,4,2,400,,,,,,,200,
2009,"1083002307",157,,,,,,18000,,,,,,
2009,"1083002307",147,7,1,0.25,500,,,,,,,2000,
2009,"1083002307",152,1,24,1,1800,,,,,,,1800,
2009,"1083002307",160,,,,,,3000,,,,,,
2009,"1083002309",107,7,64,,,,,,,7,21000,3000,
2009,"1083002309",147,7,1,0.75,1800,,,,,,,2400,
2009,"1083002309",149,7,54,1,100,,,,,,,100,
2009,"1083002309",135,7,66,,,,,7,350,,,,50
2009,"1083002309",127,7,4,14,2800,,,,,,,200,
2009,"1083002309",134,7,85,,,,,,,7,7000,1000,
2009,"1083002309",136,7,64,7,700,,,,,,,100,
2009,"1083002309",150,7,1,0.129999995231628,100,,,,,,,800,
2009,"1083002701",113,3,1,3,4500,,,,,,,1500,
2009,"1083002701",151,1,26,1,600,,,,,,,600,
2009,"1083002701",127,7,4,,,,,,,14,1400,100,
2009,"1083002701",110,1,1,1.5,3000,,,,,,,2000,
2009,"1083002701",105,3,20,1,5000,,,,,,,5000,
2009,"1083002701",125,7,32,7,2100,,,,,,,300,
2009,"1083002701",123,2,85,1,3000,,,,,,,300,
2009,"1083002701",128,1,35,2,200,,,,,,,200,
2009,"1083002701",135,7,66,0.25,250,,,,,,,1000,
2009,"1083002701",114,3,42,4,7200,,,,,,,1800,
2009,"1083002701",111,1,1,2,1200,,,,,,,600,
2009,"1083002701",109,7,64,0.5,500,,,,,,,1000,
2009,"1083002701",150,7,54,0.5,125,,,,,,,250,
2009,"1083002701",136,7,64,7,1400,,,,,,,200,
2009,"1083002701",141,2,1,1,1400,,,,,,,1400,
2009,"1083002701",147,7,1,2,4400,,,,,,,2200,
2009,"1083002702",130,4,64,4,2000,,,,,,,500,
2009,"1083002702",101,2,67,,,,,1,8000,,,,8000
2009,"1083002702",157,2,,,3000,,,,,,,,
2009,"1083002702",133,4,64,5,1000,,,,,,,200,
2009,"1083002702",144,3,1,0.5,1200,,,,,,,,2400
2009,"1083002702",151,4,26,4,2800,,,,,,,,700
2009,"1083002702",131,4,70,1,500,,,,,,,500,
2009,"1083002702",114,7,44,35,3500,,,,,,,100,
2009,"1083002702",134,4,85,,,,,1,1000,,,,1000
2009,"1083002702",125,7,3,3.5,2100,,,,,,,600,
2009,"1083002702",135,7,64,1,500,,,,,,,,500
2009,"1083002702",105,1,64,,,,,1,1000,,,,1000
2009,"1083002702",121,1,85,1,10000,,,,,,,10000,
2009,"1083002702",127,5,4,5,500,,,,,,,100,
2009,"1083002702",147,7,1,1,2400,,,,,,,2400,3000
2009,"1083002702",107,2,64,,,,,1,1000,,,,1000
2009,"1083002702",150,7,52,1,200,,,,,,,,200
2009,"1083002702",136,7,64,7,1400,,,,,,,,200
2009,"1083002702",149,7,54,1,100,,,,,,,,100
2009,"1083002703",135,7,66,0.5,250,,,,,,,500,
2009,"1083002703",136,7,64,7,700,,,,,,,100,
2009,"1083002703",107,1,64,1,1000,,,,,,,1000,
2009,"1083002703",123,2,64,1,1500,,,,,,,1500,
2009,"1083002703",127,4,4,8,800,,,,,,,100,
2009,"1083002703",150,7,51,0.25,100,,,,,,,400,
2009,"1083002703",110,1,1,1,1400,,,,,,,1400,
2009,"1083002703",101,7,67,1,6000,,,,,,,6000,
2009,"1083002703",147,7,1,0.75,1950,,,,,,,2600,
2009,"1083002703",117,1,1,0.5,2500,,,,,,,5000,
2009,"1083002703",144,2,33,2,800,,,,,,,400,
2009,"1083002703",113,7,1,1.5,750,,,,,,,500,
2009,"1083002704",149,7,54,1,100,,,,,,,100,
2009,"1083002704",113,1,1,0.5,500,,,,,,,1000,
2009,"1083002704",150,7,54,0.25,100,,,,,,,400,
2009,"1083002704",119,2,1,2,8000,,,,,,,4000,
2009,"1083002704",136,7,64,7,1400,,,,,,,200,
2009,"1083002704",107,2,64,,,,,2,2000,,,,1000
2009,"1083002704",144,3,33,3,1500,,,,,,,500,
2009,"1083002704",135,7,66,1,200,,,,,,,200,
2009,"1083002704",141,1,1,0.5,800,,,,,,,1600,
2009,"1083002704",125,5,32,5,1500,,,,,,,300,
2009,"1083002704",105,4,64,,,,,4,4000,,,,1000
2009,"1083002704",127,3,4,6,600,,,,,,,100,
2009,"1083002704",103,3,69,,,,,1,6000,,,,6000
2009,"1083002705",149,7,54,1,500,,,,,,,500,
2009,"1083002705",155,7,54,1,2500,,,,,,,2500,
2009,"1083002705",105,1,64,1,1000,,,,,,,1000,
2009,"1083002705",140,2,1,1,800,,,,,,,800,
2009,"1083002705",157,7,,,10000,,,,,,,,
2009,"1083002705",135,3,64,1,500,,,,,,,500,
2009,"1083002705",100,1,70,1,2000,,,,,,,2000,
2009,"1083002705",127,1,4,1,200,,,,,,,200,
2009,"1083002705",147,3,1,0.5,1100,,,,,,,2200,
2009,"1083002705",113,1,1,1,1200,,,,,,,1200,
2009,"1083002707",149,7,50,1,2000,,,,,,,2000,
2009,"1083002707",150,7,54,1,800,,,,,,,800,
2009,"1083002707",140,1,1,1,1200,,,,,,,1200,
2009,"1083002707",127,1,4,1,200,,,,,,,200,
2009,"1083002707",135,1,64,1,300,,,,,,,300,
2009,"1083002707",105,1,64,1,500,,,,,,,500,
2009,"1083002707",113,1,1,5,6000,,,,,,,1200,
2009,"1083002707",136,1,64,1,200,,,,,,,200,
2009,"1083002707",147,1,1,0.5,1250,,,,,,,2500,
2009,"1083002707",104,2,64,1,1000,,,,,,,1000,
2009,"1083002708",128,1,35,1,300,,,,,,,300,
2009,"1083002708",130,3,64,2,1000,,,,,,,500,
2009,"1083002708",133,3,64,2,400,,,,,,,200,
2009,"1083002708",136,7,64,7,1400,,,,,,,200,
2009,"1083002708",110,2,1,1,2000,,,,,,,2000,
2009,"1083002708",141,1,1,,,,,1,1200,,,,1200
2009,"1083002708",125,5,32,4,1200,,,,,6,1800,300,
2009,"1083002708",144,1,1,0.25,700,,,,,,,2800,
2009,"1083002708",113,2,1,1,1000,,,,,,,1000,
2009,"1083002708",127,4,4,9,900,,,,,,,100,
2009,"1083002708",147,7,1,1.5,3300,,,,,,,2200,
2009,"1083002708",124,1,85,,,,,6,1800,,,,300
2009,"1083002708",121,1,85,,,,,1,5000,,,,5000
2009,"1083002708",112,1,85,,,,,10,2000,,,,200
2009,"1083002708",117,1,1,1,5000,,,,,,,5000,
2009,"1083002708",103,3,69,,,,,3,12000,,,,4000
2009,"1083002708",150,7,1,0.5,400,,,,,,,800,
2009,"1083002708",107,1,64,,,,,2,2000,,,,1000
2009,"1083002708",105,4,64,,,,,6,6000,,,,1000
2009,"1083002708",135,7,64,1,500,,,,,,,500,
2009,"1083002708",143,1,1,0.25,500,,,,,,,2000,
2009,"1083002709",150,7,54,1,200,,,,,,,200,
2009,"1083002709",103,1,69,,,,,1,3000,,,,3000
2009,"1083002709",144,2,1,,,,,1,2000,,,,2000
2009,"1083002709",147,7,1,2,4400,,,,,,,2200,
2009,"1083002709",149,7,53,1,100,,,,,,,100,
2009,"1083002709",127,5,4,4,400,,,,,,,100,
2009,"1083002709",113,5,1,,,,,7.5,7500,,,,1000
2009,"1083002709",107,1,64,,,,,1,2000,,,,2000
2009,"1083002709",105,1,64,,,,,1,2000,,,,2000
2009,"1083002709",141,5,1,,,,,2.5,3000,,,,1200
2009,"1083002710",150,7,54,1,500,,,,,,,500,
2009,"1083002710",135,1,64,1,200,,,,,,,200,
2009,"1083002710",120,1,1,1,5000,,,,,,,5000,
2009,"1083002710",136,1,64,1,200,,,,,,,200,
2009,"1083002710",149,7,51,,,,,,,1,3700,3700,
2009,"1083002710",147,1,1,0.5,1250,,,,,,,2500,
2009,"1083002710",127,1,4,1,500,,,,,,,500,
2009,"1083002710",105,1,64,,,,,4,2000,,,,500
2009,"1083002710",102,2,68,,,,,1,7000,,,,7000
2009,"1083002710",113,2,1,2,2000,,,,,,,1000,
2009,"1083003002",144,2,1,,,,,1,1000,,,,1000
2009,"1083003002",147,7,1,1,2400,,,,,,,2400,
2009,"1083003002",149,7,54,2,200,,,,,,,100,
2009,"1083003002",137,2,85,2,800,,,,,,,400,
2009,"1083003002",127,7,4,7,700,,,,,,,100,
2009,"1083003002",150,7,54,1,500,,,,,,,500,
2009,"1083003002",141,3,1,,,,,10,15000,,,,1500
2009,"1083003002",133,2,64,,,,,5,500,,,,100
2009,"1083003002",136,7,64,14,1400,,,,,,,100,
2009,"1083003002",138,7,66,,,,,7,1400,,,,200
2009,"1083003002",113,7,9,,,,,0.5,15000,,,,30000
2009,"1083003002",132,3,64,,,,,5,500,,,,100
2009,"1083003002",105,7,9,,,,,1,25000,,,,25000
2009,"1083003006",137,2,85,2,1000,,,,,,,500,
2009,"1083003006",130,7,39,,,,,1,3000,,,,3000
2009,"1083003006",136,7,64,2,1000,,,,,,,500,
2009,"1083003006",105,2,38,,,,,2,4000,,,,2000
2009,"1083003006",147,7,1,1.5,3750,,,,,,,2500,
2009,"1083003006",107,1,38,,,,,1,2500,,,,2500
2009,"1083003006",139,1,66,1,200,,,,,,,200,
2009,"1083003006",132,7,39,,,,,7,7000,,,,1000
2009,"1083003006",144,2,1,1,2800,,,,,,,2800,
2009,"1083003006",151,1,26,5,3000,,,,,,,600,
2009,"1083003006",135,7,64,1,500,,,,,,,500,
2009,"1083003006",123,1,55,1,2700,,,,,,,2700,
2009,"1083003006",109,1,1,2.5,1750,,,,,,,700,
2009,"1083003006",150,7,1,0.5,400,,,,,,,800,
2009,"1083003006",114,1,41,1,1800,,,,,,,1800,
2009,"1083003006",113,3,1,3,3600,,,,,,,1200,
2009,"1083003006",121,1,85,,,,,1,8000,,,,8000
2009,"1083003006",124,1,85,6,1200,,,,,,,200,
2009,"1083003006",101,2,67,,,,,2,20000,,,,10000
2009,"1083003006",108,1,1,1,1000,,,,,,,1000,
2009,"1083003006",127,7,26,1,1400,,,,,,,1400,
2009,"1083003006",149,7,54,1,200,,,,,,,200,
2009,"1083003006",117,1,1,1,4500,,,,,,,4500,
2009,"1083003006",110,1,1,2,3600,,,,,,,1800,
2009,"1083003006",141,3,1,,,,,3,3600,,,1200,
2009,"1083003006",122,1,55,1,2000,,,,,,,2000,
2009,"1083003006",125,5,32,5,1500,,,,,,,300,
2009,"1083003007",138,2,66,,,,,2,200,,,,100
2009,"1083003007",149,5,54,1,200,,,,,,,200,
2009,"1083003007",150,7,1,0.25,250,,,,,,,250,
2009,"1083003007",144,1,1,0.25,600,,,,,,,2400,
2009,"1083003007",112,1,85,,,,,10,500,,,,50
2009,"1083003007",136,7,64,7,700,,,,,,,100,
2009,"1083003007",141,1,1,0.5,500,,,,,,,1000,
2009,"1083003007",113,2,1,1,1200,,,,,,,1200,
2009,"1083003007",132,2,85,,,,,10,500,,,,50
2009,"1083003007",107,3,64,4,4000,,,,,,,1000,
2009,"1083003007",127,2,4,2,200,,,,,,,100,
2009,"1083003007",147,2,1,0.25,600,,,,,,,2400,
2009,"1083003007",105,3,64,,,,,3,3000,,,,1000
2009,"1083003007",153,2,32,2,200,,,,,,,100,
2009,"1083003007",135,7,64,7,350,,,,,,,50,
2009,"1083003008",135,7,64,7,700,,,,,,,100,
2009,"1083003008",136,7,64,7,1400,,,,,,,200,
2009,"1083003008",101,3,67,,,,,1,13000,,,,13000
2009,"1083003008",144,2,1,0.5,1200,,,,,,,2400,
2009,"1083003008",147,7,1,1,3000,,,,,,,3000,
2009,"1083003008",125,7,3,7,4200,,,,,,,600,
2009,"1083003008",141,2,1,1,1500,,,,,,,1500,
2009,"1083003008",140,1,64,,,,,2,2000,,,,1000
2009,"1083003008",130,2,64,2,400,,,,,,,200,
2009,"1083003008",107,2,64,,,,,3,3000,,,,1000
2009,"1083003008",110,1,1,1,2000,,,,,,,2000,
2009,"1083003008",112,7,85,,,,,14,2800,,,,200
2009,"1083003008",105,2,64,,,,,4,4000,,,,1000
2009,"1083003008",149,7,54,1,100,,,,,,,100,
2009,"1083003008",150,7,54,1,300,,,,,,,300,
2009,"1083003008",127,7,4,14,1400,,,,,,,100,
2009,"1083003009",144,1,1,0.25,800,,,,,,,3200,
2009,"1083003009",150,7,1,0.25,250,,,,,,,1000,
2009,"1083003009",136,7,64,7,700,,,,,,,100,
2009,"1083003009",123,1,64,1,1500,,,,,,,1500,
2009,"1083003009",132,7,39,,,,,7,3500,,,,500
2009,"1083003009",131,3,69,,,,,1,600,,,,600
2009,"1083003009",111,7,39,,,,,5,1500,,,,300
2009,"1083003009",107,6,64,,,,,6,3000,,,,500
2009,"1083003009",147,7,1,1.5,3750,,,,,,,2500,
2009,"1083003009",105,5,64,,,,,3,1500,,,,500
2009,"1083003009",141,2,32,,,,,3,1500,,,,500
2009,"1083003009",149,7,54,2,200,,,,,,,100,
2009,"1083003009",135,7,64,1,500,,,,,,,500,
2009,"1083003009",127,7,26,1,1500,,,,,,,1500,1200
2009,"1083003010",144,3,1,1,2500,,,,,,,2500,
2009,"1083003010",147,3,1,2,4200,,,,,,,2100,
2009,"1083003010",132,2,85,,,,,,,10,500,500,
2009,"1083003010",135,3,66,1,500,,,,,,,500,
2009,"1083003010",136,3,64,3,300,,,,,,,300,
2009,"1083003010",151,1,26,,,1,600,,,,,600,
2009,"1083003010",149,7,54,2,200,,,,,,,100,
2009,"1083003010",141,4,1,2,2800,,,,,,,1400,
2009,"1083003010",104,1,64,2,2000,,,,,,,1000,
2009,"1083003010",127,3,4,2,200,,,,,,,100,
2009,"1083003010",150,7,1,0.25,250,,,,,,,1000,
2009,"1083003010",139,6,66,,,,,6,600,,,,100
2009,"1083003010",105,7,64,,,,,14,14000,,,,1000
2009,"1083003301",137,1,85,1,300,,,,,,,300,
2009,"1083003301",123,2,85,1,3000,,,,,,,3000,
2009,"1083003301",150,7,52,0.5,150,,,,,,,300,
2009,"1083003301",107,2,64,2,1000,,,,,,,500,
2009,"1083003301",100,4,70,6,9000,,,,,,,1500,
2009,"1083003301",136,7,64,7,700,,,,,,,100,
2009,"1083003301",144,2,1,0.25,1000,,,,,,,4000,
2009,"1083003301",113,1,1,5,6000,,,,,,,1200,
2009,"1083003301",135,7,66,0.5,250,,,,,,,500,
2009,"1083003301",127,2,4,4,400,,,,,,,100,
2009,"1083003301",147,7,1,1,2400,,,,,,,2400,
2009,"1083003302",137,2,85,,,,,,,3,900,300,
2009,"1083003302",113,4,1,,,,,6,9000,,,,1500
2009,"1083003302",135,3,64,3,600,,,,,,,200,
2009,"1083003302",123,1,64,1,2000,,,,,,,2000,
2009,"1083003302",147,4,1,,,,,,,1,2600,2600,
2009,"1083003302",110,2,1,,,,,4,8000,,,,2000
2009,"1083003302",115,2,1,,,,,4,5200,,,,1300
2009,"1083003302",144,3,1,0.379999995231628,1500,,,,,,,4000,
2009,"1083003302",121,1,85,,,,,1,10000,,,,10000
2009,"1083003302",114,1,42,,,,,,,1,1500,1500,
2009,"1083003302",136,1,64,1,200,,,,,,,200,
2009,"1083003302",117,1,1,,,,,,,1,5000,5000,
2009,"1083003302",125,1,32,1,300,,,,,,,300,
2009,"1083003302",130,3,85,,,,,6,300,,,,50
2009,"1083003302",127,2,4,2,200,,,,,,,100,
2009,"1083003302",150,7,52,0.5,150,,,,,,,300,
2009,"1083003302",116,1,1,,,,,0.5,400,,,,800
2009,"1083003302",108,1,1,,,,,2,1800,,,,900
2009,"1083003302",156,7,83,,,,,7,700,,,,100
2009,"1083003302",105,1,39,,,,,2,2000,,,,1000
2009,"1083003303",141,6,1,,,,,4,8000,,,,2000
2009,"1083003303",147,7,1,,,,,,,1,2000,2000,
2009,"1083003303",113,3,1,,,,,2,3000,,,,1500
2009,"1083003303",150,7,52,0.5,100,,,,,,,200,
2009,"1083003303",108,2,1,,,,,1,1000,,,,1000
2009,"1083003303",107,2,64,,,,,2,2000,,,,1000
2009,"1083003303",136,7,64,,,,,7,1400,,,200,
2009,"1083003303",144,1,1,,,,,0.5,1000,,,2000,
2009,"1083003303",127,7,4,7,700,,,,,,,100,
2009,"1083003306",147,7,1,2.45000004768372,4900,,,,,,,2000,
2009,"1083003306",123,1,55,5,5000,,,,,,,5000,
2009,"1083003306",142,2,1,0.75,700,,,,,,,700,
2009,"1083003306",113,7,1,10.5,14700,,,,,,,1400,
2009,"1083003306",127,7,32,1,1100,,,,,,,1100,
2009,"1083003306",117,2,1,1,4500,,,,,,,4500,
2009,"1083003306",136,7,85,4,100,,,,,,,100,
2009,"1083003306",149,2,81,2,200,,,,,,,200,
2009,"1083003306",107,1,64,,,,,2,2000,,,,1000
2009,"1083003306",114,7,45,35,3500,,,,,,,100,
2009,"1083003306",135,7,64,1,300,,,,,,,300,
2009,"1083003306",105,2,14,,,,,1,3000,,,3000,
2009,"1083003306",140,1,1,1,1600,,,,,,,1600,
2009,"1083003306",101,1,67,,,,,1,6000,,,,6000
2009,"1083003306",122,7,55,1,5000,,,,,,,5000,
2009,"1083003306",150,3,51,0.25,100,,,,,,,400,
2009,"1083003307",125,7,3,14,8400,,,,,,,600,
2009,"1083003307",110,1,1,0.5,1200,,,,,,,2400,
2009,"1083003307",136,7,85,14,700,,,,,,,100,
2009,"1083003307",105,4,40,,,,,4,4000,,,,1000
2009,"1083003307",150,5,1,0.5,500,,,,,,,1000,
2009,"1083003307",149,7,54,2,400,,,,,,,200,
2009,"1083003307",123,1,55,1,1500,,,,,,,1500,
